RouteID,DriverID,Warehouse,Date,Delay,Running_Avg_Delay
R1,D71,W5,2026-03-14,1,1.2666666666666666
R1,D61,W8,2026-03-14,1,1.2666666666666666
R1,D1,W16,2026-03-14,-2,1.2666666666666666
R1,D72,W19,2026-03-14,4,1.2666666666666666
R1,D19,W6,2026-03-14,4,1.2666666666666666
R1,D14,W13,2026-03-14,0,1.2666666666666666
R1,D92,W13,2026-03-14,-1,1.2666666666666666
R1,D47,W19,2026-03-14,3,1.2666666666666666
R1,D57,W2,2026-03-14,-2,1.2666666666666666
R1,D84,W12,2026-03-14,0,1.2666666666666666
R1,D52,W13,2026-03-14,3,1.2666666666666666
R1,D97,W19,2026-03-14,2,1.2666666666666666
R1,D73,W4,2026-03-14,4,1.2666666666666666
R1,D96,W11,2026-03-14,-2,1.2666666666666666
R1,D12,W20,2026-03-14,4,1.2666666666666666
R1,D86,W18,2026-03-15,4,0.9655172413793104
R1,D73,W20,2026-03-15,-1,0.9655172413793104
R1,D100,W5,2026-03-15,1,0.9655172413793104
R1,D98,W14,2026-03-15,0,0.9655172413793104
R1,D88,W16,2026-03-15,0,0.9655172413793104
R1,D13,W14,2026-03-15,3,0.9655172413793104
R1,D67,W8,2026-03-15,0,0.9655172413793104
R1,D14,W8,2026-03-15,0,0.9655172413793104
R1,D73,W6,2026-03-15,0,0.9655172413793104
R1,D92,W4,2026-03-15,-1,0.9655172413793104
R1,D93,W6,2026-03-15,3,0.9655172413793104
R1,D99,W19,2026-03-15,-2,0.9655172413793104
R1,D72,W1,2026-03-15,1,0.9655172413793104
R1,D5,W16,2026-03-15,1,0.9655172413793104
R1,D39,W5,2026-03-16,3,1.275
R1,D16,W8,2026-03-16,1,1.275
R1,D46,W15,2026-03-16,0,1.275
R1,D3,W6,2026-03-16,4,1.275
R1,D5,W9,2026-03-16,0,1.275
R1,D12,W1,2026-03-16,2,1.275
R1,D49,W4,2026-03-16,0,1.275
R1,D47,W5,2026-03-16,2,1.275
R1,D87,W4,2026-03-16,3,1.275
R1,D6,W13,2026-03-16,3,1.275
R1,D62,W10,2026-03-16,5,1.275
R1,D2,W13,2026-03-17,0,1.4313725490196079
R1,D95,W16,2026-03-17,2,1.4313725490196079
R1,D13,W9,2026-03-17,-2,1.4313725490196079
R1,D17,W16,2026-03-17,1,1.4313725490196079
R1,D59,W11,2026-03-17,4,1.4313725490196079
R1,D65,W6,2026-03-17,0,1.4313725490196079
R1,D12,W7,2026-03-17,0,1.4313725490196079
R1,D14,W3,2026-03-17,4,1.4313725490196079
R1,D30,W15,2026-03-17,4,1.4313725490196079
R1,D82,W8,2026-03-17,4,1.4313725490196079
R1,D39,W17,2026-03-17,5,1.4313725490196079
R1,D5,W1,2026-03-18,1,1.1304347826086956
R1,D29,W20,2026-03-18,-2,1.1304347826086956
